LocationID,census_tract_id,apportion_weight
67,3013200,0.041787
67,3014000,0.039498
67,3014800,0.036050
67,3015000,0.036012
67,3015200,0.072326
67,3015400,0.249992
67,3016600,0.072059
67,3019400,0.048153
67,3019600,0.050838
67,3019800,0.036366
67,3020000,0.036401
67,3020200,0.036395
67,3020400,0.036385
67,3020600,0.045995
67,3020800,0.038686
67,3021000,0.040488
67,3021200,0.051516
68,1008300,0.167097
68,1008900,0.158997
68,1009300,0.172100
68,1009700,0.165963
68,1010300,0.167345
68,1011100,0.168500
69,2005902,0.038092
69,2006100,0.130017
69,2014300,0.069631
69,2017100,0.091481
69,2017300,0.088493
69,2017500,0.081398
69,2017701,0.057226
69,2017702,0.075635
69,2017901,0.041200
69,2017902,0.041280
69,2018101,0.041458
69,2018102,0.051896
69,2018301,0.035900
69,2018302,0.060288
69,2022500,0.096005
70,4035300,0.084768
70,4035700,0.330002
70,4036100,0.085945
70,4036300,0.073534
70,4036500,0.090716
70,4036700,0.107014
70,4037100,0.098447
70,4037300,0.129573
71,3078000,0.045786
71,3078200,0.046831
71,3078400,0.046586
71,3081400,0.047364
71,3081600,0.049980
71,3083000,0.056153
71,3083200,0.040511
71,3083400,0.035052
71,3083600,0.057938
71,3083800,0.046456
71,3084000,0.047330
71,3085000,0.040247
71,3085200,0.110567
71,3085400,0.035828
71,3085600,0.043965
71,3085800,0.038496
71,3086000,0.048594
71,3087000,0.043341
71,3087200,0.040935
71,3093200,0.078039
72,3084600,0.054373
72,3084800,0.045248
72,3086200,0.046131
72,3086400,0.049471
72,3086600,0.051497
72,3086800,0.057464
72,3088200,0.066901
72,3088400,0.054969
72,3088600,0.059275
72,3088800,0.066238
72,3089000,0.081702
72,3092800,0.051722
72,3093000,0.063917
72,3093400,0.058505
72,3093600,0.054338
72,3093800,0.043155
72,3094600,0.095095
73,4086100,0.054525
73,4118500,0.056560
73,4118700,0.068422
73,4118900,0.073913
73,4119100,0.079546
73,4119300,0.077259
73,4119500,0.069161
